Year,Region,Vacant_Houses,Is_Capital,YoY_Growth
2021,대구,3601,비수도권,4.710671706891545
2022,대구,3716,비수도권,3.1935573451818966
2023,대구,3693,비수도권,-0.618945102260493
2024,대구,3900,비수도권,5.605199025182772
2015,대전,2137,비수도권,
2016,대전,2232,비수도권,4.445484323818438
2017,대전,2303,비수도권,3.1810035842293916
2018,대전,2340,비수도권,1.6066000868432573
2019,대전,2468,비수도권,5.470085470085473
2020,대전,2428,비수도권,-1.620745542949753
2021,대전,2528,비수도권,4.1186161449752845
2022,대전,2591,비수도권,2.4920886075949333
2023,대전,2726,비수도권,5.210343496719405
2024,대전,2850,비수도권,4.548789435069689
2015,부산,7347,비수도권,
2016,부산,7400,비수도권,0.7213828773649178
2017,부산,7240,비수도권,-2.1621621621621623
2018,부산,7338,비수도권,1.3535911602210016
2019,부산,7452,비수도권,1.5535568274734235
2020,부산,7623,비수도권,2.2946859903381744
2021,부산,7844,비수도권,2.89912108093926
2022,부산,7920,비수도권,0.9688934217236156
2023,부산,7974,비수도권,0.6818181818181834
2024,부산,8200,비수도권,2.8342111863556507
2015,서울,3447,수도권,
2016,서울,3479,수도권,0.928343487090233
2017,서울,3530,수도권,1.4659384880712834
2018,서울,3514,수도권,-0.45325779036826663
2019,서울,3593,수도권,2.2481502561183753
2020,서울,3652,수도권,1.6420818257723457
2021,서울,3920,수도권,7.338444687842283
2022,서울,3945,수도권,0.6377551020408267
2023,서울,4060,수도권,2.91508238276299
2024,서울,4100,수도권,0.9852216748768461
2015,세종,142,비수도권,
2016,세종,144,비수도권,1.4084507042253502
2017,세종,156,비수도권,8.333333333333325
2018,세종,160,비수도권,2.564102564102555
2019,세종,165,비수도권,3.125
2020,세종,170,비수도권,3.0303030303030276
2021,세종,168,비수도권,-1.17647058823529
2022,세종,176,비수도권,4.761904761904767
2023,세종,179,비수도권,1.7045454545454586
2024,세종,189,비수도권,5.586592178770955
2015,울산,1047,비수도권,
2016,울산,1107,비수도권,5.730659025787976
2017,울산,1101,비수도권,-0.5420054200542035
2018,울산,1121,비수도권,1.816530426884655
2019,울산,1165,비수도권,3.9250669045495012
2020,울산,1162,비수도권,-0.2575107296137302
2021,울산,1237,비수도권,6.454388984509474
2022,울산,1211,비수도권,-2.1018593371059047
2023,울산,1308,비수도권,8.009909165978524
2024,울산,1300,비수도권,-0.6116207951070374
2015,인천,2118,수도권,
2016,인천,2162,수도권,2.077431539187913
2017,인천,2341,수도권,8.279370952821452
2018,인천,2407,수도권,2.81930798803931
2019,인천,2450,수도권,1.7864561695056125
2020,인천,2442,수도권,-0.3265306122449019
2021,인천,2476,수도권,1.3923013923013983
2022,인천,2635,수도권,6.421647819063003
2023,인천,2668,수도권,1.2523719165085323
2024,인천,2750,수도권,3.073463268365817
2015,전남,12227,비수도권,
2016,전남,12799,비수도권,4.678171260325503
2017,전남,13662,비수도권,6.742714274552708
2018,전남,14918,비수도권,9.19338310642659
2019,전남,15145,비수도권,1.5216516959377868
2020,전남,16142,비수도권,6.583030703202386
2021,전남,17191,비수도권,6.498575145582941
2022,전남,17744,비수도권,3.2167994881042494
2023,전남,19378,비수도권,9.208746618575292
2024,전남,19850,비수도권,2.435751883579318
2015,전북,9241,비수도권,
2016,전북,9474,비수도권,2.52137214587167
2017,전북,9927,비수도권,4.781507283090569
2018,전북,10610,비수도권,6.880225647224747
2019,전북,11396,비수도권,7.4081055607917
2020,전북,12377,비수도권,8.608283608283607
2021,전북,13167,비수도권,6.382806819099951
2022,전북,13272,비수도권,0.797448165869219
2023,전북,14522,비수도권,9.418324291742008
2024,전북,15400,비수도권,6.045999173667549
2015,제주,1941,비수도권,
2016,제주,1985,비수도권,2.266872746007209
2017,제주,2017,비수도권,1.6120906801007528
2018,제주,2007,비수도권,-0.49578582052552944
2019,제주,2146,비수도권,6.9257598405580545
2020,제주,2128,비수도권,-0.8387698042870428
2021,제주,2158,비수도권,1.4097744360902276
2022,제주,2186,비수도권,1.297497683039861
2023,제주,2311,비수도권,5.718206770356815
2024,제주,2350,비수도권,1.687581133708349
2015,충남,8091,비수도권,
2016,충남,8902,비수도권,10.023482882214797
2017,충남,9288,비수도권,4.336104246236805
2018,충남,9659,비수도권,3.994401378122303
2019,충남,10294,비수도권,6.574179521689616
2020,충남,10774,비수도권,4.662910433262102
2021,충남,10909,비수도권,1.2530165212548683
2022,충남,11958,비수도권,9.615913465945546
2023,충남,12305,비수도권,2.9018230473323303
2024,충남,12900,비수도권,4.83543275091427
2015,충북,7629,비수도권,
2016,충북,7599,비수도권,-0.39323633503736133
2017,충북,7809,비수도권,2.7635215159889537
2018,충북,8121,비수도권,3.9953899346907518
2019,충북,7930,비수도권,-2.35192710257357
2020,충북,8133,비수도권,2.5598991172761654
2021,충북,8432,비수도권,3.676380179515548
2022,충북,8297,비수도권,-1.6010436432637554
2023,충북,8349,비수도권,0.6267325539351498
2024,충북,8700,비수도권,4.204096298957949
